id,user_id,user_ip,timestamp,user_msg,srvr_msg
7692505447,91-9783264,33.50.13.207,12/20/2022,"i'm absolutely lovely, thank you.",everything's been good with you?
5690697933,06-1862568,202.195.47.92,9/6/2023,everything's been good with you?,i haven't been better. how about yourself?
3834033761,74-7590561,59.101.239.181,4/9/2022,i haven't been better. how about yourself?,i started school recently.
1668383442,92-4311052,153.36.237.6,7/25/2023,i started school recently.,where are you going to school?
4728156945,33-1763145,36.214.94.181,12/23/2022,where are you going to school?,i'm going to pcc.
2178175319,64-7373844,240.161.220.248,12/12/2023,i'm going to pcc.,how do you like it so far?
7460516346,67-3976113,167.46.42.237,3/28/2023,how do you like it so far?,i like it so far. my classes are pretty good right now.
2213377787,63-8012643,96.254.140.140,12/7/2022,i like it so far. my classes are pretty good right now.,i wish you luck.
5419632951,27-4316781,102.158.30.237,6/2/2023,it's an ugly day today.,i know. i think it may rain.
2650345777,64-2050663,155.85.92.54,9/21/2022,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today."
8086921261,83-4556377,107.82.218.252,1/8/2022,"it's the middle of summer, it shouldn't rain today.",that would be weird.
3947548788,57-8770278,162.5.51.93,9/20/2022,that would be weird.,"yeah, especially since it's ninety degrees outside."
9988502405,59-5353016,193.3.2.253,5/1/2023,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
775696583,06-7606972,133.221.8.111,5/6/2022,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be.Ê"
3058075835,98-7793291,56.57.96.229,3/11/2023,"yes, it would be.Ê",i really wish it wasn't so hot every day.Ê
2255321150,42-9275299,208.91.54.45,12/10/2023,i really wish it wasn't so hot every day.Ê,me too. i can't wait until winter.
1893399888,45-1027594,193.131.135.230,9/13/2023,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
1992927646,91-6137275,7.92.247.81,12/28/2023,"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
7643695983,82-5800095,37.206.227.68,12/23/2023,i'd rather be cold than hot.,me too.
7951152991,44-6798674,71.183.62.203,8/23/2023,it doesn't look very nice outside today.,you're right. i think it's going to rain later.
4819796323,36-9188348,40.101.169.164,2/27/2022,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining."
67916688,34-6035654,13.81.170.128,11/18/2023,"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
2662829490,41-5040258,220.179.73.179,6/5/2023,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
302630251,64-9151249,176.172.220.68,7/25/2023,"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot."
9945110574,94-0633430,217.146.20.157,4/18/2023,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
4548028030,25-5529341,237.161.40.217,11/27/2022,"i know, you're absolutely right.",i wish it would cool off one day.
6118925490,90-5779341,69.142.157.194,3/10/2023,i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
9945643594,81-8106961,77.73.104.87,2/4/2023,"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
3483684447,63-1572611,157.145.218.247,7/23/2022,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
6389171596,93-2056240,180.75.203.145,3/17/2022,"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.
8934611377,81-6243829,16.85.165.128,6/24/2023,i wish it was a nicer day today.,that is true. i hope it doesn't rain.
6984855344,66-4286372,247.59.214.40,8/22/2022,that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.
2239499573,86-9966395,239.45.197.54,1/28/2022,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.
3602456966,11-3022202,68.231.4.49,5/24/2023,it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.
9586717428,24-0071320,107.252.8.137,7/4/2023,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
8317708633,49-0052456,57.150.143.16,9/21/2022,any rain right now would be pointless.,"that's right, it really would be."
4219489444,46-1466946,80.141.153.117,12/13/2023,"that's right, it really would be.",i want it to cool down some.
4660299766,81-1206415,116.102.58.238,2/14/2022,i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
3007631386,46-6268935,138.56.92.78,11/12/2023,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
4229538795,47-9897010,4.95.105.142,1/2/2023,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
9971064578,77-2504241,196.150.94.216,12/27/2023,it's such a nice day.,"yes, it is."
481678240,54-6207570,154.73.198.89,8/4/2022,"yes, it is.",it looks like it may rain soon.
1166520213,94-1014144,41.62.44.125,5/3/2022,it looks like it may rain soon.,"yes, and i hope that it does."
3210993667,55-6734966,56.166.246.110,11/28/2023,"yes, and i hope that it does.",why is that?
6946813747,98-8393196,45.117.97.143,11/23/2022,why is that?,i really love how rain clears the air.
8940317007,40-0902198,90.154.245.225,1/16/2022,i really love how rain clears the air.,me too. it always smells so fresh after it rains.
8826158491,96-4033658,161.110.65.23,12/21/2022,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
5430397280,80-3703030,68.117.139.129,10/2/2023,"yes, but i love the night air after it rains.",really? why is it?
4303440534,58-7623717,125.131.34.220,3/19/2022,really? why is it?,because you can see the stars perfectly.
2823300838,85-3049001,174.105.84.34,11/26/2022,because you can see the stars perfectly.,i really hope it rains today.
6528861511,73-3903041,89.152.10.171,1/14/2022,i really hope it rains today.,"yeah, me too."
6872185158,70-4103520,250.182.45.164,4/17/2022,isn't it a nice day?,it really is.
6839868414,80-1398327,3.242.172.26,12/1/2023,it really is.,it seems that it may rain today.
7694995253,76-1288673,179.58.134.140,10/16/2023,it seems that it may rain today.,hopefully it will.
1707765502,52-4627160,23.134.240.134,10/19/2022,hopefully it will.,how come?
4059897489,38-5808127,4.65.212.180,10/30/2022,how come?,i like how clear the sky gets after it rains.
9815881513,10-6464758,13.99.215.235,7/17/2023,i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.
9388958745,16-6364613,158.0.194.149,11/10/2023,i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.
9890625225,00-3770074,75.60.56.167,9/10/2022,i especially love the night air when it rains.,really? why?
2396215231,73-8196687,96.156.227.106,6/12/2022,really? why?,the stars look so much closer after it rains.
5951800054,92-7598784,28.141.116.209,5/28/2022,the stars look so much closer after it rains.,i really want it to rain today.
2054056337,07-6781987,56.175.98.255,4/9/2022,i really want it to rain today.,"yeah, so do i."
4192372268,39-7417739,30.108.197.7,12/30/2023,don't you think it's nice out?,"yes, i think so too."
1786671859,42-1669322,72.148.184.40,9/12/2022,"yes, i think so too.",i think that it's going to rain.
9914583598,21-5248689,235.164.94.201,11/20/2022,i think that it's going to rain.,i hope that it does rain.
9372336489,63-7985970,103.246.241.191,10/13/2023,i hope that it does rain.,you like the rain?
4860383915,30-7825202,248.30.32.78,11/6/2022,you like the rain?,the sky looks so clean after it rains. i love it.
8369686827,01-9610685,227.128.3.136,10/5/2023,the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.
7751007571,38-0038259,128.19.42.114,8/10/2022,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
9874097694,65-5087717,206.235.64.59,7/10/2022,i love most how it is at night after it rains.,how come?
2424388212,98-8614328,38.5.89.47,3/24/2023,how come?,you can see the stars so much more clearly after it rains.
2910174524,77-6489135,106.11.255.145,9/25/2022,you can see the stars so much more clearly after it rains.,i would love for it to rain today.
1116241079,83-3580018,103.204.152.137,8/2/2023,i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?
8325017047,85-8097260,118.209.12.180,5/7/2023,that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.
9541638693,68-5451271,104.79.51.235,8/25/2023,i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?
8793126614,64-2001367,224.76.60.192,8/7/2023,is it going to be perfect beach weather?,i believe so.
3124464240,26-6537053,137.17.220.147,7/31/2023,i believe so.,good. i hope it doesn't cool off this weekend.
4163555014,02-7799314,61.45.229.8,2/23/2023,good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.
2255202701,16-5799801,253.91.17.20,4/13/2022,i know. i really want to go to the beach.,but you know that california weather is really unpredictable.
9975861816,55-8438024,2.72.176.133,8/21/2023,but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold."
73652972,26-7569795,174.40.14.226,3/28/2023,"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.
3462942909,61-1675643,146.153.128.74,5/11/2022,i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.
7157226953,35-5803446,140.166.193.69,7/22/2022,i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
3164050186,13-7043430,49.187.119.15,2/20/2022,i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?
8254808308,45-5180335,129.25.200.239,6/30/2023,a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.
1165892367,30-7029645,149.173.214.76,10/1/2022,the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?
9738881449,19-8481890,75.222.118.96,5/20/2023,so do you think it'll be perfect weather for the beach?,it sounds like it will be.
1279168358,52-6277887,22.246.132.188,7/16/2022,it sounds like it will be.,i really hope it doesn't get cold.
4872558639,69-0265178,161.15.206.4,7/4/2022,i really hope it doesn't get cold.,"that would ruin things, i want to go so badly."
2733120655,71-4882040,195.134.25.52,11/14/2022,"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know."
8365811900,77-8746891,0.130.25.194,6/18/2023,"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
2992663424,07-2259113,23.121.198.116,8/26/2022,that is true. the weather is constantly changing.,it would be nice if the weather would never change.
6620444933,97-0328280,72.232.162.71,1/7/2022,it would be nice if the weather would never change.,"that would be great, then we could plan things sooner."
7338095728,42-5206031,46.209.214.116,6/14/2022,"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.
7275613820,37-0378546,134.173.46.82,11/15/2022,it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.
4976558257,89-8879515,196.199.33.220,12/30/2022,what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.
6729780476,79-9905609,228.207.208.185,9/18/2022,the weather this weekend is supposed to be warm.,will it be good beach weather?
9870214647,06-5012573,158.19.141.165,4/26/2022,will it be good beach weather?,i think it will be.
7102456511,50-3888343,58.82.27.177,1/7/2023,i think it will be.,it wouldn't be good if it got cold this weekend.
5154036114,48-7983572,56.191.195.177,11/13/2023,it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm."
3235489098,10-2657252,49.89.253.191,6/8/2023,"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen."
6258923896,20-5491850,13.116.40.131,4/23/2022,"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.
6979336884,10-8373903,106.0.113.252,1/23/2022,i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.
1536487386,88-8656256,202.64.166.82,5/14/2022,i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
1930068662,12-9492239,206.174.105.77,4/17/2023,"hello, may i speak to alice please?",this is she. how's it going?
3409395486,40-7426830,180.233.9.24,1/2/2022,this is she. how's it going?,i've been trying to call you all day.
5767737419,68-7358515,214.199.15.219,9/23/2023,i've been trying to call you all day.,sorry about that. i was cleaning up.
8328662675,37-8657369,152.53.120.2,8/8/2022,sorry about that. i was cleaning up.,it's okay.
1072922085,99-9191453,164.209.230.76,3/30/2023,it's okay.,so what were you calling me about?
4671175963,86-4424141,54.148.144.232,12/25/2022,so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
5850625762,63-6636161,85.211.178.239,1/23/2022,"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
1353940445,95-1311850,184.246.108.189,7/7/2023,"sure, what did you want to do?",maybe we can go see a movie or something.
3090066639,83-4671176,51.178.54.223,10/20/2022,maybe we can go see a movie or something.,that sounds like fun. let's do it.
7717675962,32-1161331,158.183.204.201,2/19/2022,that sounds like fun. let's do it.,i'll see you tomorrow then.
5101686547,64-8778799,114.125.8.138,12/3/2023,i'll see you tomorrow then.,see you then. goodbye.
8977338836,92-1474125,180.104.243.10,12/20/2022,"hi, how are you. is alice there?",speaking. what's up?
1677701338,35-5448086,113.30.40.158,7/29/2022,speaking. what's up?,why haven't you answered the phone?
9499644088,31-9014228,48.186.198.169,11/26/2023,why haven't you answered the phone?,"my bad, i had chores to do."
9840436170,61-1300165,181.38.252.222,7/21/2022,"my bad, i had chores to do.",that's all right.
716482771,33-2453722,176.206.136.133,4/20/2023,that's all right.,what was the reason for your call?
233295690,74-0501035,232.38.166.3,2/9/2022,what was the reason for your call?,i want to do something tomorrow with you.
2977164832,32-6854759,37.94.80.84,2/8/2023,i want to do something tomorrow with you.,sounds good. what did you have in mind?
2339550852,77-1231137,1.183.226.66,7/18/2023,sounds good. what did you have in mind?,i was thinking about seeing a movie.
64455380,27-9000334,218.168.124.101,1/16/2022,i was thinking about seeing a movie.,"okay, let's go see a movie."
8788661954,82-7481600,175.225.250.197,8/20/2022,"okay, let's go see a movie.",until then.
3156019214,18-5538810,46.247.90.220,1/20/2022,until then.,talk to you later.
9775351659,67-6723269,108.59.199.119,3/19/2022,is alice available?,you're talking to her.
1683845939,42-4148523,65.119.176.217,6/5/2023,you're talking to her.,i've called you a hundred times today.
208361330,36-5400893,29.234.115.71,11/24/2023,i've called you a hundred times today.,i was busy doing something. i apologize.
478616553,13-0796895,238.203.63.163,11/22/2023,i was busy doing something. i apologize.,no problem.
4540593647,33-3239745,244.166.71.206,2/18/2022,no problem.,did you need something?
1505255631,36-5750052,63.158.125.6,5/20/2023,did you need something?,do you want to do something tomorrow?
3446497469,70-1505304,69.217.116.160,11/29/2023,do you want to do something tomorrow?,is there somewhere special you wanted to go?
1367550311,32-6440337,129.248.114.134,11/6/2022,is there somewhere special you wanted to go?,how about a movie?
4623178347,34-8064183,153.139.14.59,1/7/2023,how about a movie?,a movie sounds good.
5413180665,14-9819901,204.174.8.49,5/7/2023,a movie sounds good.,call me tomorrow then.
7272348409,04-9452605,153.181.113.158,12/7/2022,have you seen the new girl in school?,"no, i haven't."
71803558,60-4272872,74.220.54.158,8/21/2023,"no, i haven't.",she's really pretty.
1576522561,49-7478017,34.247.78.117,1/21/2022,she's really pretty.,describe her to me.
8991125090,05-7061034,113.243.138.210,8/25/2022,describe her to me.,she's not too tall.
5046939001,22-3928673,128.55.49.97,9/29/2022,she's not too tall.,"well, how tall is she?"
345900639,36-1136750,233.133.130.74,9/21/2023,"well, how tall is she?",she's about five feet even.
9700302600,66-8241245,19.126.124.48,9/21/2023,she's about five feet even.,"what does she look like, though?"
3512636405,41-0569485,206.108.98.224,10/4/2022,"what does she look like, though?",she has pretty light brown eyes.
8846596237,70-1737815,191.119.6.4,10/11/2023,she has pretty light brown eyes.,i may know which girl you're talking about.
6225208847,69-0755285,217.158.223.112,3/27/2022,i may know which girl you're talking about.,so you have seen her around?
9593808611,90-4244864,98.18.108.57,5/31/2023,so you have seen her around?,"yes, i have."
5330433550,45-0032406,166.155.32.150,7/23/2023,"there's a new girl in school, have you seen her yet?",i haven't seen her yet.
919838609,93-5492421,136.235.129.23,12/6/2022,i haven't seen her yet.,i think that she is very pretty.
4413139831,27-1122706,38.254.252.4,2/18/2022,i think that she is very pretty.,tell me how she looks.
2555162861,07-3679240,30.120.241.35,9/19/2022,tell me how she looks.,she's kind of short.
6188504093,83-2204730,103.95.227.103,2/12/2023,she's kind of short.,what height is she?
4907663858,07-3165171,27.174.133.98,8/20/2022,what height is she?,she's probably about five feet.
4706562148,32-8111266,56.6.26.174,8/31/2022,she's probably about five feet.,"that's nice, but tell me what she looks like."
1853123448,62-4673643,26.18.119.222,11/17/2022,"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.
5739030991,24-8023135,149.189.33.45,9/13/2023,the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.
9505911241,68-3380520,41.56.231.209,8/5/2023,i think i might've bumped into her before.,are you telling me that you've seen her before?
940664805,45-0694198,109.0.42.201,12/29/2023,are you telling me that you've seen her before?,i believe so.
9202217432,27-7120532,8.159.169.15,6/7/2022,have you met the new girl?,no. have you?
2720971157,41-4920027,88.43.16.24,12/9/2022,no. have you?,she's one of the prettiest girls at the school.
2011389315,60-1851330,49.161.126.8,12/21/2023,she's one of the prettiest girls at the school.,what does she look like?
6635715829,88-0328568,24.78.227.91,9/10/2022,what does she look like?,"well, she's quite short."
7151104496,43-5730835,44.1.122.143,3/21/2023,"well, she's quite short.",how tall would you say that she is?
1013316693,54-2596825,208.68.92.150,3/26/2022,how tall would you say that she is?,i would say she's only five feet.
9912077151,16-8134431,238.200.227.65,7/27/2023,i would say she's only five feet.,what about her facial features?
4000998727,17-3934815,182.35.250.184,6/6/2022,what about her facial features?,"she has light brown eyes, absolutely beautiful."
8160593063,99-2503715,53.3.108.221,11/11/2023,"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.
7235531513,61-3843034,141.100.215.96,12/6/2023,i think i know who you're talking about.,have you seen her?
5093976475,78-4707290,164.148.249.112,12/16/2022,why weren't you at school yesterday?,i wasn't really feeling well.
4411161062,02-1445524,144.33.129.233,2/9/2022,i wasn't really feeling well.,what was wrong with you?
3168337550,78-6344428,144.97.236.27,4/6/2023,what was wrong with you?,my stomach was upset.
9245486833,50-7261022,20.69.216.126,1/22/2022,my stomach was upset.,do you feel better now?
9815704431,22-6413706,246.241.131.90,8/15/2023,do you feel better now?,i don't really feel too well yet.
6738330809,24-9583472,120.236.247.190,3/13/2022,i don't really feel too well yet.,do you want anything to make you feel better?
6816136030,04-9903708,164.148.43.252,4/4/2023,do you want anything to make you feel better?,"no, thanks. i already took some medicine."
4867424215,55-0658098,210.0.77.230,12/10/2022,"no, thanks. i already took some medicine.",i hope you feel better.
7435212606,41-6434881,249.113.154.240,12/20/2022,i hope you feel better.,thank you.
9961401445,83-5766208,91.162.43.130,9/27/2022,what reason do you have for missing school?,i was sick.
4290181815,07-2287119,115.181.62.100,7/28/2022,i was sick.,how were you sick?
9111401120,57-3141274,143.101.29.21,11/5/2022,how were you sick?,i had a stomachache.
3225646585,75-1919217,107.202.215.177,12/9/2023,i had a stomachache.,did it get any better?
8700596762,44-8948009,51.142.252.106,10/7/2023,did it get any better?,i'm still feeling under the weather.
7937088751,48-2832472,202.102.26.217,1/25/2023,i'm still feeling under the weather.,would you like anything for your stomach?
5350774264,42-4832502,176.212.30.7,3/3/2023,would you like anything for your stomach?,i took something earlier.
9772506985,23-2579644,159.165.96.53,8/11/2022,i took something earlier.,get better.
7053998521,36-8227780,36.226.174.199,2/13/2023,get better.,thanks a lot.
3430907922,26-6074225,46.198.253.82,12/3/2022,why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.
5052658311,26-2697314,11.91.129.25,1/4/2022,i stayed home because i wasn't feeling well.,what was your problem?
652318953,36-1429474,90.107.101.125,8/8/2022,what was your problem?,my stomach was bothering me.
4773152960,82-6480944,234.54.247.103,11/12/2023,my stomach was bothering me.,are you feeling any better?
8569533604,41-4796690,61.29.108.150,3/1/2022,are you feeling any better?,i'm still feeling a little sick.
4275864485,76-2458696,98.97.61.104,4/27/2022,i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?"
8701722128,34-3054919,233.185.33.123,8/22/2022,"i'm going to the store, would you like any pepto bismol?",that's okay.
1894503235,73-8556079,182.122.96.248,6/25/2023,that's okay.,i hope you feel better.
2203852499,35-0791838,148.251.164.192,4/10/2023,did you hear the good news?,"no, i haven't."
9780036653,03-0890840,174.121.15.77,10/8/2023,"no, i haven't.",i got a promotion at my job.
4894149588,69-6270206,173.125.61.190,7/6/2023,i got a promotion at my job.,did you really?
4044219716,09-0552976,117.70.216.21,4/7/2022,did you really?,"seriously, i am so excited."
9766260680,31-9723866,204.247.67.193,9/19/2022,"seriously, i am so excited.","well, congratulations."
7295070079,04-8728382,80.66.114.94,1/23/2023,"well, congratulations.",thank you.
3765027824,85-7950101,121.91.75.21,12/13/2022,thank you.,i'm so happy for you.
5303859353,55-0854029,163.154.111.187,11/13/2023,i'm so happy for you.,really?
4995296543,06-6263024,121.83.178.60,12/19/2023,really?,yes. you really deserved this.
7578769848,42-4909701,142.101.174.143,10/19/2022,yes. you really deserved this.,you think so?
6201135741,63-0157126,37.245.50.83,4/2/2022,you think so?,yes. good for you.
4390060679,56-5489678,241.185.229.37,6/27/2022,have you heard my good news?,you haven't told me anything yet.
7437239166,40-6301056,121.153.2.146,4/24/2023,you haven't told me anything yet.,i got a promotion at work earlier this week.
5790169771,85-0229124,222.200.108.216,1/15/2023,i got a promotion at work earlier this week.,is that right?
1621516871,19-1855784,91.32.65.109,4/9/2022,is that right?,it's the truth. i am really happy.
1097181519,97-9225920,144.162.240.17,3/30/2022,it's the truth. i am really happy.,congratulations on your promotion.
3223951122,98-6067149,1.42.225.68,5/2/2023,congratulations on your promotion.,thank you very much.
4929607235,23-7663998,54.125.2.193,9/24/2023,thank you very much.,i am really excited for you.
2580600550,42-7376829,78.133.208.163,4/2/2023,i am really excited for you.,are you really?
6573533604,75-1484628,169.35.98.100,3/20/2023,are you really?,i'm serious. you deserved this promotion.
6620474157,92-1824414,69.114.147.139,7/27/2022,i'm serious. you deserved this promotion.,is that what you really think?
1155092583,33-6493908,153.158.171.164,9/20/2022,is that what you really think?,"yes, i do."
390449513,75-6842946,63.132.161.133,2/18/2023,"i haven't told you what happened yet, have i?",i haven't heard anything.
8129938074,56-0717764,172.133.220.137,5/19/2022,i haven't heard anything.,"my boss offered me a promotion, and i took it."
5003275609,91-2728000,144.104.241.61,4/11/2023,"my boss offered me a promotion, and i took it.",are you serious?
381298382,59-6198016,251.95.119.33,10/12/2023,are you serious?,"yes, i am really excited."
5767879038,76-1007823,24.255.86.94,9/14/2023,"yes, i am really excited.",that's great. congratulations.
8936987983,18-5739262,45.82.155.174,7/14/2022,that's great. congratulations.,i appreciate that.
5195254977,93-8867385,148.80.47.121,7/10/2022,i appreciate that.,you have no idea how happy i am for you.
76438059,33-1688931,67.113.120.55,2/26/2022,you have no idea how happy i am for you.,for real?
6997099148,88-2488581,206.146.138.86,12/18/2023,you look really nice today.Ê,thank you. i just got this outfit the other day.
7470504646,14-6347317,18.60.16.0,8/2/2022,thank you. i just got this outfit the other day.,"really, where did you get it?"
7920330692,93-7411207,116.16.64.201,3/29/2023,"really, where did you get it?",i got it from macy's.
9180550219,43-4424432,115.65.166.167,11/29/2022,i got it from macy's.,it's really nice.
7251023140,79-1498891,209.198.139.198,10/9/2022,it's really nice.,"thanks again. you look nice today, too."
5830169167,07-2407362,218.151.21.77,4/20/2022,"thanks again. you look nice today, too.",thank you. i just got these shoes today.
3012818115,19-7763126,61.59.70.97,5/12/2022,thank you. i just got these shoes today.,really? what kind of shoes are they?
1991878563,85-5315531,163.166.229.84,8/7/2022,really? what kind of shoes are they?,these are called all star chuck taylors.
3806135076,63-1761871,221.79.190.117,6/3/2023,these are called all star chuck taylors.,i really like those. how much did they cost?
121469661,36-0017920,107.89.5.210,6/30/2022,i really like those. how much did they cost?,they were about forty dollars.
4667263323,17-7207551,83.233.254.237,6/15/2022,they were about forty dollars.,i think i'm going to go buy myself a pair.
3647733482,02-6172049,188.92.0.210,6/7/2022,i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.
5626483885,07-0295045,46.217.213.32,2/15/2023,you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?"
754064145,89-8398482,140.90.65.105,1/16/2022,"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.
6418397867,35-7567955,128.145.145.119,2/22/2023,i bought it from the macy's at the santa anita mall.,i really like that outfit.
6753516284,76-1913222,209.121.84.38,2/19/2022,i really like that outfit.,"thanks. i think you look nice today, too."
8082276839,68-6338213,44.85.219.128,7/15/2023,"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.
6156998343,03-9522589,41.117.222.229,5/18/2023,thank you. i just bought these new shoes earlier today.,those are nice. what are they?
897413185,71-7132303,227.226.153.136,8/18/2022,those are nice. what are they?,these are some chucks.
3778679152,93-1191591,219.251.206.244,3/14/2022,these are some chucks.,those are great. how much were they?
766705846,51-6948104,114.72.169.151,6/2/2023,those are great. how much were they?,i got them for forty.
192679066,95-6716042,91.93.158.111,3/2/2022,i got them for forty.,i think i might go and find me my own pair of chucks.
915897922,58-0899253,61.156.59.246,8/24/2023,i think that you look very cute today.,is that right? this is a brand new outfit.
3233800847,04-0435320,85.185.173.9,5/31/2023,is that right? this is a brand new outfit.,what store did you get it from?
2803530866,87-0091601,172.79.236.11,9/17/2022,what store did you get it from?,i went to macy's and picked it out.
6020019552,33-8550032,29.85.132.104,12/12/2022,i went to macy's and picked it out.,i love your outfit right now.
9357681326,92-9297425,188.220.18.206,2/10/2023,i love your outfit right now.,"well, i think you look nice today too."
1151106846,16-7535329,155.217.247.71,11/11/2022,"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.
